Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logarithmic Barrier,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project without gradient,adam,3710.081,0.1456
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project with gradient,adam,3688.443,0.1456
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logistic Sigmoid,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logarithmic Barrier,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project without gradient,momentum-sign,2374.163,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project with gradient,momentum-sign,2383.007,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logistic Sigmoid,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logarithmic Barrier,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project without gradient,nesterov-sign,2124.41,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Project with gradient,nesterov-sign,2078.557,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 Logistic Sigmoid,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logarithmic Barrier,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project without gradient,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project with gradient,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logistic Sigmoid,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logarithmic Barrier,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project without gradient,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project with gradient,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logistic Sigmoid,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logarithmic Barrier,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project without gradient,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Project with gradient,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.01 Logistic Sigmoid,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logarithmic Barrier,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project without gradient,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project with gradient,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logistic Sigmoid,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logarithmic Barrier,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project without gradient,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project with gradient,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logistic Sigmoid,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logarithmic Barrier,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project without gradient,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Project with gradient,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.001 Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logarithmic Barrier,adam,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project without gradient,adam,0.457,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project with gradient,adam,0.355,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project without gradient,momentum-sign,0.118,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project with gradient,momentum-sign,0.094,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logistic Sigmoid,momentum-sign,0.721,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project without gradient,nesterov-sign,0.105,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 Project with gradient,nesterov-sign,0.107,0.0
