Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.777,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.264,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.263,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,momentum-sign,4.229,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,momentum-sign,5.493,0.1317
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
hailfinder_2000,N/A,1,0.116_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,ERR,ERR
nrp,K=16 ,2,0.0012_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.123,0.0
nrp,K=16 ,2,0.0012_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.123,0.0
nrp,K=16 ,2,0.0012_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.124,0.0
nrp,K=16 ,2,0.0012_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.122,0.0
nrp,K=16 ,2,0.0012_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.119,0.0
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,4.0099,0.0008
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,4.4603,0.0008
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,4.4529,0.0008
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,4.4678,0.0008
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,4.4795,0.0008
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.0012_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,26.196,0.0004
nrp,K=16 ,5,0.0012_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,32.311,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,58.765,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,21.504,0.001
nrp,K=16 ,5,0.0012_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,21.132,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,59.6712,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,67.3353,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,60.9569,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,67.4745,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,49.9828,0.0
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.0012_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.924,0.105
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.921,0.105
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.934,0.105
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.924,0.105
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,	397,141,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.92,0.105
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,1.2296,0.0002
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,1.2322,0.0002
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9659,0.0002
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,1.2375,0.0002
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,0.9538,0.0002
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.12_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,87.518,4.1847
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,88.113,4.1847
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,86.949,4.1847
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,87.073,4.1847
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,	2822,889,lr=0.1 args=--constraint-method project-gradient,momentum-sign,86.992,4.1847
network2_priorities_dropped_packets,K=8 T=5 ,1,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,40.6003,3.8588
