Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,adam,3039.665,0.1456
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,adam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,radam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,radam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,radam,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,rmsprop,819.807,0.1454
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,rmsprop,1741.73,0.1451
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,rmsprop,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,plain,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,plain,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,plain,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,plain-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,plain-sign,2929.267,0.1453
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,plain-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,momentum,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,momentum,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,momentum,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,momentum-sign,1919.402,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,momentum-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,nesterov,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,nesterov,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,nesterov,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logarithmic Barrier,nesterov-sign,N/A,N/A
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Project with gradient,nesterov-sign,2020.847,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,adam,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,adam,0.38,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,radam,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,radam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,radam,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,rmsprop,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,rmsprop,14.464,0.0001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,rmsprop,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,plain,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,plain,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,plain,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,plain-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,plain-sign,0.143,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,plain-sign,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,momentum,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,momentum,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,momentum,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,momentum-sign,0.096,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,momentum-sign,0.584,0.001
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,nesterov,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,nesterov,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,nesterov,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Project with gradient,nesterov-sign,0.108,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,Logistic Sigmoid,nesterov-sign,0.658,0.0008
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,adam,42.925,0.0008
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,radam,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,radam,604.222,0.001
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,radam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,rmsprop,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,rmsprop,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,rmsprop,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,plain,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,plain,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,plain,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,plain-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,plain-sign,54.105,0.0007
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,plain-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,momentum,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,momentum,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,momentum,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,momentum-sign,23.788,0.0001
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,nesterov,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,nesterov,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,nesterov,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,nesterov-sign,16.767,0.0005
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,nesterov-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,adam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,adam,1.798,0.0789
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,adam,15.327,0.0998
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,radam,N/A,N/A
